vin,km,images[0],images[1],images[2],user,specs.longType,specs.marca,specs.modelo,specs.version,specs.carroceria,specs.motor,specs.combustible,specs.cambio,specs.cilindros,specs.traccion,specs.potenciaKW,specs.potenciaCV,specs.parNm,specs.aceleracion,specs.velocidadMax,specs.neumaticoDelantero,specs.neumaticoTrasero,specs.emisionesCO2,specs.claseEmisiones,specs.colorEmisiones
W1K1770541N183551,123009,https://res.cloudinary.com/dileah1ig/image/upload/v1761135905/vehicles/W1K1770541N183551/hqbicyyivnbba22q5aaz.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761135907/vehicles/W1K1770541N183551/wf4xvohhrm4m7011lp2q.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761135908/vehicles/W1K1770541N183551/ls8o6vvtuu4ncvrshtg8.webp,68f8dcff299b2295231e345b,Mercedes-AMG A 45 S 4MATIC+ Compacto,Mercedes-Benz,A,LZAZ150A,Compacto,1991,Gasolina,automático,4,4x4 (AWD),310,421,500,3.9,270,245/35 ZR19 93Y XL,245/35 ZR19 93Y XL,206,F,#FF886D
W1K5J8FB9RN439696,200,https://res.cloudinary.com/dileah1ig/image/upload/v1761135961/vehicles/W1K5J8FB9RN439696/phpat7rjljabola02xcq.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761135962/vehicles/W1K5J8FB9RN439696/uz01crjy4negpor7ceov.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761135963/vehicles/W1K5J8FB9RN439696/jjlzyvnrtfb1yxwcmzko.webp,68f8dcff299b2295231e345c,CLA 250 e Coupé con tecnología híbrida EQ,Mercedes-Benz,CLA,HZAA054D,Coupé,1332,Hibrido,automático,4,4x2 (FWD),120,163,270,7.6,229,205/55 R17,205/55 R17,150,C,#D2E165
WDD2050871F561242,56343,https://res.cloudinary.com/dileah1ig/image/upload/v1761136170/vehicles/WDD2050871F561242/kyhfe1pbs5rzfeufakce.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136172/vehicles/WDD2050871F561242/luzhuijh1cobgeqwnmbi.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136174/vehicles/WDD2050871F561242/kdyfgc3wqzwi8l1vgfu1.webp,68f8dcff299b2295231e345d,Mercedes-AMG C 63 S Berlina,Mercedes-Benz,C,RZAA05I4,Berlina,3982,Gasolina,automático,V8,4x2 (RWD),375,510,700,4.0,250,245/35 ZR19 93Y XL,265/35 R19,192,F,#FF886D
W1K1183531N177296,345345,https://res.cloudinary.com/dileah1ig/image/upload/v1761136191/vehicles/W1K1183531N177296/y8a61qau1iq1wji0dtk5.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136192/vehicles/W1K1183531N177296/unofn02nmu64dhv7uh42.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136194/vehicles/W1K1183531N177296/plhghjmwogvcfok8u9rv.webp,68f8dcff299b2295231e345e,Mercedes-AMG CLA 45 4MATIC+ Coupé,Mercedes-Benz,CLA,LZAA150A,Coupé,1991,Gasolina,automático,4,4x4 (AWD),285,387,480,4.1,250,245/40 ZR18 97Y XL,245/40 ZR18 97Y XL,199,F,#FF886D
WDD1173031N529645,2342,https://res.cloudinary.com/dileah1ig/image/upload/v1761136211/vehicles/WDD1173031N529645/n3a00yqiir3yqddebbds.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136213/vehicles/WDD1173031N529645/tyc4iyntub8hho1yunl6.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136215/vehicles/WDD1173031N529645/pcrprwg9jdhu3dfooc9b.webp,68f8dcff299b2295231e345f,CLA 220 d Coupé,Mercedes-Benz,CLA,MZBA1522,Coupé,2143,Diesel,automático,4,4x2 (FWD),130,177,350,7.7,232,225/45 R17,225/45 R17,106,A,#69E99B
WDD1760051J676767,23432,https://res.cloudinary.com/dileah1ig/image/upload/v1761136233/vehicles/WDD1760051J676767/e3cypr8gyrb1sxtk5foz.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136235/vehicles/WDD1760051J676767/w2wqybihrwbvzq1nhubx.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136237/vehicles/WDD1760051J676767/ohgg68y3esskzduu183e.webp,68f8dcff299b2295231e3460,A 220 d 4MATIC,Mercedes-Benz,A,MZAA1502,Berlina,2143,Diesel,automático,4,4x4 (AWD),130,177,350,7.5,220,225/45 R17,225/45 R17,124,B,#94E890
WDD2050041F026856,32452,https://res.cloudinary.com/dileah1ig/image/upload/v1761136252/vehicles/WDD2050041F026856/r1txjyucdwsxzffusylq.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136255/vehicles/WDD2050041F026856/lvnwtasfvzjbnckf9mxu.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136256/vehicles/WDD2050041F026856/nkenwyc4d7qd2r2ctzib.webp,68f8dcff299b2295231e3461,C 220 BlueTEC berlina,Mercedes-Benz,C,NZAAB573,Berlina,2143,Diesel,automático,4,4x2 (RWD),125,170,400,7.4,233,205/60 R16,205/60 R16,113,A,#69E99B
WDD2050041R286931,2131,https://res.cloudinary.com/dileah1ig/image/upload/v1761136273/vehicles/WDD2050041R286931/vebufdzxpj8atglmfn12.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136275/vehicles/WDD2050041R286931/tv3k8ialyaobqqiurhwr.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136277/vehicles/WDD2050041R286931/yip1hbvtxsvepjxfpnlv.webp,68f8dcff299b2295231e3462,C 220 d berlina,Mercedes-Benz,C,CZAA0572,Berlina,2143,Diesel,automático,4,4x2 (RWD),125,170,400,7.5,235,205/60 R16 92V,205/60 R16 92V,117,A,#69E99B
WDD2130041A005863,86433,https://res.cloudinary.com/dileah1ig/image/upload/v1761136293/vehicles/WDD2130041A005863/knep9zogdiighecepa1e.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136294/vehicles/WDD2130041A005863/qri2iwvit5psntme8yka.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136296/vehicles/WDD2130041A005863/wrefvzy5dt1wp7csh6yq.webp,68f8dcff299b2295231e3463,E 220 d berlina,Mercedes-Benz,E,CZAZ15A2,Berlina,1950,Diesel,automático,4,4x2 (RWD),143,194,400,7.9,232,205/65 R16,205/65 R16,112,A,#69E99B
WDD2050371F160810,3456,https://res.cloudinary.com/dileah1ig/image/upload/v1761136372/vehicles/WDD2050371F160810/txratiwyswewnvev0zt7.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136375/vehicles/WDD2050371F160810/p6exblxlrlehlvnrenv1.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136377/vehicles/WDD2050371F160810/mhr4z2aiohtqnieww0bh.webp,68f8dcff299b2295231e3464,C 200 BlueTEC berlina,Mercedes-Benz,C,NZABB521,Berlina,1598,Diesel,automático,4,4x2 (RWD),100,136,320,10.2,216,205/60 R16 92V,205/60 R16 92V,112,A,#69E99B
